id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7270561f,2021-06-06,950858,33302,,,,4458445,3748676,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-07,951084,33307,,,,4468532,3767439,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-08,951322,33309,,,,4479178,3784262,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-09,951532,33313,,,,4495904,3810301,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-10,951817,33322,,,,4518389,3841844,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-11,952238,33331,,,,4534496,3866126,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-12,952396,33339,,,,4550456,3893043,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-13,952559,33344,,,,4563359,3914429,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-14,952772,33348,,,,4571002,3928231,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-15,952963,33359,,,,4571916,3930053,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-16,953079,33358,,,,4597794,3973654,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
